word,rank,frequency
walk,1010,114
Serena,1011,114
Raw,1012,114
McGregor,1013,114
24th,1014,114
wear,1015,114
Cup,1016,114
Jindal,1017,114
Back,1018,114
hand,1019,113
Lol,1020,113
dad,1021,113
Lexus,1022,113
ocean,1023,113
From,1024,113
Federer,1025,113
pass,1026,112
state,1027,112
Awards,1028,112
beautiful,1029,112
Schumer,1030,112
Or,1031,112
brother,1032,112
Williams,1033,112
thank,1034,112
killed,1035,112
agree,1036,111
b,1037,111
Juventus,1038,111
Braun,1039,111
Dana,1040,111
score,1041,111
Merkel,1042,111
major,1043,111
Green,1044,110
Randy,1045,110
twilight,1046,110
More,1047,110
Set,1048,110
three,1049,110
pm,1050,110
X,1051,110
Morning,1052,110
Only,1053,110
Anderson,1054,110
Pride,1055,109
Tsipras,1056,109
become,1057,109
Even,1058,109
Orton,1059,109
Remember,1060,109
nights,1061,109
idea,1062,109
pay,1063,109
Beckham,1064,109
course,1065,109
catch,1066,108
Kurt,1067,108
career,1068,108
peace,1069,108
league,1070,108
Mac,1071,108
Out,1072,108
heart,1073,108
number,1074,108
SCOTUS,1075,108
Sanders,1076,107
crazy,1077,107
Miley,1078,107
Chuck,1079,107
Zlatan,1080,107
either,1081,107
Palin,1082,107
Magic,1083,107
fair,1084,107
Ben,1085,107
Next,1086,107
literally,1087,107
Snoop,1088,106
AC/DC,1089,106
Martin,1090,106
til,1091,106
Paris,1092,106
Teen,1093,106
Conor,1094,105
month,1095,105
Erdogan,1096,105
British,1097,105
Nintendo,1098,105
Free,1099,105
sound,1100,105
TOMORROW,1101,105
Dogg,1102,105
Dallas,1103,105
wonder,1104,105
city,1105,105
Gov,1106,105
different,1107,105
Blue,1108,105
International,1109,104
Planned,1110,104
Grateful,1111,104
women,1112,104
Nike,1113,104
St.,1114,104
Marley,1115,104
funny,1116,104
frank,1117,104
Parade,1118,104
order,1119,104
Minecraft,1120,104
UKIP,1121,103
Potter,1122,103
giving,1123,103
bless,1124,103
definitely,1125,103
extra,1126,103
biggest,1127,103
less,1128,102
AND,1129,102
woman,1130,102
Monsanto,1131,102
Michelle,1132,102
Yeah,1133,102
group,1134,102
Thrones,1135,102
plans,1136,102
Maybe,1137,102
office,1138,101
TGIF,1139,101
each,1140,101
Seinfeld,1141,101
Music,1142,101
Wow,1143,101
21,1144,101
plan,1145,100
Ric,1146,100
liked,1147,100
r,1148,100
power,1149,100
huge,1150,100
update,1151,100
Would,1152,100
Angela,1153,100
Parenthood,1154,100
Venice,1155,100
Flair,1156,99
picture,1157,99
near,1158,99
Hannibal,1159,99
XXL,1160,99
kind,1161,99
attack,1162,99
tomorrow\u002c,1163,99
Bentley,1164,99
bitch,1165,99
Norris,1166,99
issue,1167,98
cry,1168,98
St,1169,98
college,1170,98
kid,1171,98
Championship,1172,98
third,1173,98
IBM,1174,98
Google+,1175,98
26,1176,98
campaign,1177,97
leaving,1178,97
stream,1179,97
Does,1180,97
Italy,1181,97
scored,1182,97
King,1183,97
Harrison,1184,97
UFC,1185,96
By,1186,96
Mariah,1187,96
Disneyland,1188,96
Lee,1189,96
Twitter,1190,96
died,1191,96
question,1192,96
future,1193,96
dinner,1194,95
leading,1195,95
war,1196,95
town,1197,95
performance,1198,95
word,1199,95
Sep,1200,95
India,1201,95
De,1202,95
sorry,1203,95
Bowl,1204,95
dude,1205,94
Grand,1206,94
Gon,1207,94
understand,1208,94
singing,1209,94
Book,1210,94
super,1211,94
ya,1212,94
coffee,1213,94
choice,1214,94
Carey,1215,94
photo,1216,94
runs,1217,94
met,1218,93
29th,1219,93
loss,1220,93
worth,1221,93
air,1222,93
summer,1223,93
others,1224,93
Oracle,1225,93
himself,1226,93
fall,1227,92
Vamps,1228,92
cant,1229,92
Cobain,1230,92
etc,1231,92
looked,1232,92
t,1233,92
Where,1234,91
Fleetwood,1235,91
performing,1236,91
ends,1237,91
fire,1238,91
damn,1239,91
answer,1240,91
spend,1241,91
People,1242,91
His,1243,91
Feb,1244,90
hey,1245,90
he\u2019s,1246,90
Amendment,1247,90
official,1248,90
leader,1249,90
wearing,1250,90
church,1251,90
FREE,1252,90
Nigeria,1253,90
holiday,1254,89
knew,1255,89
main,1256,89
stand,1257,89
NOT,1258,89
food,1259,89
loved,1260,89
Texas,1261,89
cut,1262,89
card,1263,89
Jay-Z,1264,89
Giants,1265,89
white,1266,89
28,1267,88
dream,1268,88
young,1269,88
Bee,1270,88
wife,1271,88
Chicago,1272,88
showing,1273,88
forgot,1274,88
minute,1275,88
Jays,1276,88
floor,1277,88
test,1278,88
Kpop,1279,88
27,1280,88
action,1281,87
Liam,1282,87
price,1283,87
Knicks,1284,87
dance,1285,87
fine,1286,87
Dean,1287,87
England,1288,87
following,1289,87
Derby,1290,87
info,1291,87
problem,1292,87
wake,1293,87
election,1294,87
pic,1295,86
reading,1296,86
Reuters,1297,86
happened,1298,86
thinks,1299,86
using,1300,86
Mets,1301,86
talks,1302,86
teams,1303,86
strong,1304,86
missing,1305,86
xx,1306,85
double,1307,85
Samsung,1308,85
22nd,1309,85
Sorry,1310,85
eyes,1311,85
bet,1312,85
Ambrose,1313,85
Cruise,1314,85
Bill,1315,85
store,1316,85
entire,1317,85
31st,1318,85
Should,1319,84
words,1320,84
born,1321,84
matter,1322,84
Fri,1323,84
Washington,1324,84
Looks,1325,84
perform,1326,84
plays,1327,84
interesting,1328,84
Thurs,1329,84
sounds,1330,84
alone,1331,84
Matt,1332,84
article,1333,84
nirvana,1334,84
Every,1335,84
okay,1336,84
27th,1337,83
Republican,1338,83
Hall,1339,83
radio,1340,83
26th,1341,83
launch,1342,83
speak,1343,83
ESPN,1344,83
Any,1345,83
T-Mobile,1346,83
THIS,1347,83
theme,1348,83
surprise,1349,83
couple,1350,83
Gen,1351,83
link,1352,82
Wed,1353,82
cena,1354,82
Ohio,1355,82
speech,1356,82
Up,1357,82
Can\u2019t,1358,82
confirmed,1359,82
park,1360,82
red,1361,82
share,1362,82
Off,1363,82
lineup,1364,82
god,1365,82
Steve,1366,81
iPod,1367,81
wrote,1368,81
stupid,1369,81
Hopefully,1370,81
voice,1371,81
Gees,1372,81
die,1373,81
HR,1374,80
taken,1375,80
possible,1376,80
pitch,1377,80
solo,1378,80
sister,1379,80
East,1380,80
knows,1381,80
29,1382,80
Had,1383,80
outside,1384,80
ppl,1385,80
august,1386,80
Really,1387,79
Tonight,1388,79
bday,1389,79
bottom,1390,79
dunkin,1391,79
sick,1392,79
continue,1393,79
LOL,1394,79
version,1395,79
anymore,1396,79
Calibraska,1397,79
Final,1398,79
dropped,1399,79
held,1400,78
Tour,1401,78
glad,1402,78
latest,1403,78
law,1404,78
mad,1405,78
dog,1406,78
II,1407,78
online,1408,78
Women,1409,78
lmao,1410,78
w,1411,78
MetLife,1412,77
Might,1413,77
debut,1414,77
kick,1415,77
welcome,1416,77
IN,1417,77
app,1418,77
28th,1419,77
weather,1420,77
Miami,1421,77
Kevin,1422,77
iOS,1423,77
quarter,1424,77
page,1425,77
Stadium,1426,77
Mark,1427,77
joke,1428,77
paid,1429,76
returns,1430,76
Jordan,1431,76
you\u2019re,1432,76
hair,1433,76
Fair,1434,76
Two,1435,76
I\u2019ve,1436,76
Jimmy,1437,76
Celebrity,1438,76
La,1439,76
spent,1440,76
8pm,1441,76
calling,1442,75
throw,1443,75
Tim,1444,75
likely,1445,75
center,1446,75
Video,1447,75
selling,1448,75
Someone,1449,75
host,1450,75
Yankees,1451,75
Very,1452,75
Gea,1453,75
hang,1454,75
LA,1455,74
YOU,1456,74
Don\u2019t,1457,74
public,1458,74
Nice,1459,74
Another,1460,74
~,1461,74
sent,1462,74
account,1463,74
U.S.,1464,74
sing,1465,74
Kenny,1466,74
expect,1467,74
Cowboys,1468,73
smith,1469,73
five,1470,73
Florida,1471,73
cuz,1472,73
IS,1473,73
Look,1474,73
sense,1475,73
Cate,1476,73
hopefully,1477,73
Bring,1478,73
An,1479,73
decided,1480,73
2013,1481,73
busy,1482,73
form,1483,72
signed,1484,72
quite,1485,72
thursday,1486,72
known,1487,72
Blanchett,1488,72
AM,1489,72
men,1490,72
winner,1491,72
Venus,1492,72
eat,1493,72
given,1494,72
sitting,1495,72
email,1496,72
presidential,1497,72
lunch,1498,72
ill,1499,72
B,1500,72
posted,1501,71
alive,1502,71
bro,1503,71
South,1504,71
hoping,1505,71
raw,1506,71
across,1507,71
NYC,1508,71
gives,1509,71
Houston,1510,71
LIVE,1511,71
send,1512,71
million,1513,71
decision,1514,71
Life,1515,71
videos,1516,70
loves,1517,70
learn,1518,70
NY,1519,70
ABC,1520,70
tried,1521,70
Family,1522,70
begin,1523,70
Disney,1524,70
Heat,1525,70
fighting,1526,70
act,1527,70
NBA,1528,70
beach,1529,70
Christian,1530,70
o,1531,70
short,1532,70
named,1533,70
J,1534,69
RBI,1535,69
Because,1536,69
Modi,1537,69
yours,1538,69
track,1539,69
Fuck,1540,69
rock,1541,69
SO,1542,69
gen,1543,69
Take,1544,69
service,1545,69
business,1546,69
Vegas,1547,69
force,1548,69
IHOP,1549,69
market,1550,69
body,1551,69
Wish,1552,68
School,1553,68
Pretty,1554,68
TO,1555,68
turned,1556,68
totally,1557,68
Jack,1558,68
important,1559,68
piece,1560,68
members,1561,68
plus,1562,68
questions,1563,68
Andy,1564,68
China,1565,68
North,1566,68
annual,1567,68
save,1568,68
injury,1569,68
Movie,1570,68
Cubs,1571,68
calls,1572,67
tix,1573,67
ISIS,1574,67
brought,1575,67
worse,1576,67
government,1577,67
heading,1578,67
Lions,1579,67
ones,1580,67
Okay,1581,67
Week,1582,67
Stars,1583,67
IT,1584,67
teen,1585,67
tweets,1586,66
Think,1587,66
Brian,1588,66
Everyone,1589,66
seem,1590,66
mention,1591,66
term,1592,66
RIP,1593,66
P,1594,66
realized,1595,66
Mon,1596,66
living,1597,66
twitter,1598,66
moving,1599,66
Times,1600,66
Bay,1601,66
sets,1602,66
Andre,1603,66
crying,1604,65
Girl,1605,65
Davis,1606,65
Kyle,1607,65
base,1608,65
supposed,1609,65
light,1610,65
Anniversary,1611,65
Dr.,1612,65
shall,1613,65
doubt,1614,65
court,1615,65
Need,1616,65
leads,1617,64
box,1618,64
forever,1619,64
lovely,1620,64
hands,1621,64
broke,1622,64
weird,1623,64
tie,1624,64
2016,1625,64
company,1626,64
cold,1627,64
enjoyed,1628,64
Congress,1629,64
message,1630,64
ai,1631,64
four,1632,64
Jim,1633,64
original,1634,64
sell,1635,64
dress,1636,64
scheduled,1637,64
Japan,1638,64
yoga,1639,64
Austin,1640,64
review,1641,63
Rodgers,1642,63
Jesus,1643,63
polls,1644,63
omg,1645,63
M,1646,63
serious,1647,63
stars,1648,63
DAY,1649,63
Never,1650,63
31,1651,63
kinda,1652,63
Daily,1653,63
Rose,1654,63
H,1655,63
rather,1656,63
hole,1657,63
lady,1658,62
cast,1659,62
Jose,1660,62
Patrick,1661,62
Straight,1662,62
tired,1663,62
tribute,1664,62
guest,1665,62
announce,1666,62
Could,1667,62
serve,1668,62
mine,1669,62
tv,1670,62
report,1671,62
worry,1672,62
transfer,1673,62
Manchester,1674,62
Theatre,1675,62
7pm,1676,62
details,1677,62
Tickets,1678,61
pull,1679,61
Royal,1680,61
member,1681,61
Facebook,1682,61
apparently,1683,61
yo,1684,61
needed,1685,61
generation,1686,61
currently,1687,61
former,1688,61
DC,1689,61
add,1690,61
Season,1691,61
national,1692,61
Enjoy,1693,61
Annual,1694,61
asking,1695,61
local,1696,61
press,1697,61
yourself,1698,61
road,1699,61
hearing,1700,61
tied,1701,61
sweet,1702,61
wall,1703,60
County,1704,60
respect,1705,60
Aaron,1706,60
lets,1707,60
ALL,1708,60
Little,1709,60
feels,1710,60
Europe,1711,60
squad,1712,60
Hollywood,1713,60
Since,1714,60
scene,1715,60
writing,1716,60
cancelled,1717,60
Russia,1718,60
changed,1719,60
safe,1720,60
Team,1721,60
happening,1722,59
Finally,1723,59
cute,1724,59
festival,1725,59
Too,1726,59
absolutely,1727,59
Mar,1728,59
style,1729,59
mate,1730,59
hanging,1731,59
bieber,1732,59
candidate,1733,59
Keep,1734,59
pics,1735,59
passed,1736,59
honestly,1737,59
blog,1738,59
Spurs,1739,59
de,1740,59
Tues,1741,59
40,1742,58
deep,1743,58
clear,1744,58
FRIDAY,1745,58
issues,1746,58
write,1747,58
Edge,1748,58
hotel,1749,58
shopping,1750,58
ended,1751,58
buying,1752,58
justin,1753,58
opinion,1754,58
ride,1755,58
Steelers,1756,58
2014,1757,58
Want,1758,58
OF,1759,58
won\u2019t,1760,57
Excited,1761,57
folks,1762,57
parade,1763,57
west,1764,57
sold,1765,57
E,1766,57
rally,1767,57
Liverpool,1768,57
gig,1769,57
Jennifer,1770,57
Stop,1771,57
Photo,1772,57
complete,1773,57
upset,1774,57
Meet,1775,57
laugh,1776,57
Girls,1777,57
that\u2019s,1778,57
Radio,1779,57
R,1780,57
thru,1781,57
Ronda,1782,57
d,1783,57
bringing,1784,57
sit,1785,57
dropping,1786,57
TFI,1787,57
eating,1788,57
table,1789,56
reality,1790,56
Los,1791,56
y'all,1792,56
English,1793,56
lots,1794,56
fast,1795,56
Long,1796,56
ice,1797,56
brown,1798,56
drops,1799,56
easy,1800,56
stopped,1801,56
telling,1802,56
train,1803,56
Mr.,1804,56
announcement,1805,56
c,1806,56
Congrats,1807,56
Saw,1808,56
S,1809,56
O,1810,56
s,1811,56
brilliant,1812,56
briana,1813,55
Compton,1814,55
candy,1815,55
tough,1816,55
Down,1817,55
Ireland,1818,55
