utterances,Core Relations
show me the cast of finding nemo,movie.starring.actor
who are the main voices in finding nemo,movie.starring.actor
who starred in finding nemo,movie.starring.actor
who stars in finding nemo,movie.starring.actor
who was the main character in men in black 3,movie.starring.actor
can i see the credits for dirty dancing,movie.starring.actor
cast of dirty dancing,movie.starring.actor
find cast and crew for dirty dancing,movie.starring.actor
search cast and crew for dirty dancing,movie.starring.actor
search for the cast and crew for the movie dirty dancing,movie.starring.actor
show me the cast and list for dirty dancing,movie.starring.actor
who starred in dirty dancing,movie.starring.actor
who starred in dirty dancing,movie.starring.actor
who were the stars of dirty dancing,movie.starring.actor
who was the male star of titanic,actor.gender_movie.starring.actor
who starred in taxi,movie.starring.actor
who played in the oranges,movie.starring.actor
actors for life is beautiful,movie.starring.actor
who are the lead actors in life is beautiful,movie.starring.actor
find the male actor from the movie born free,actor.gender_movie.starring.actor
actor from iron man,movie.starring.actor
shows actors in shoot to kill,movie.starring.actor
which actors starred in hitch,movie.starring.actor
who are all of the actors in hitch,movie.starring.actor
who was the lead actor in hitch,movie.starring.actor
who starred in dark knight rising,movie.starring.actor
who played nick fury in the avengers,movie.starring.actor_movie.starring.character
who was the lead actor in the avengers,movie.starring.actor
what was the cast of black swan,movie.starring.actor
who acted in black swan,movie.starring.actor
who was in black swan,movie.starring.actor
who was the lead in black swan,movie.starring.actor
actors in star wars four,movie.starring.actor
what was the actor who played esme in twilight,movie.starring.actor_movie.starring.character
who played esme in twilight,movie.starring.actor_movie.starring.character
who starred in the parent trap,movie.starring.actor
cast and crew for hitch,movie.starring.actor
cast and crew of hitch,movie.starring.actor
cast hitch,movie.starring.actor
hitch crew,movie.starring.actor
list cast hitch,movie.starring.actor
show the cast of hitch,movie.starring.actor
what actors appeared in the movie hitch,movie.starring.actor
what actors played in the movies hitch,movie.starring.actor
what was the cast of hitch,movie.starring.actor
who starred in hitch,movie.starring.actor
who starred in the movie hitch,movie.starring.actor
who stars in hitch,movie.starring.actor
who was in hitch,movie.starring.actor
who was in the movie hitch,movie.starring.actor
who was the star in hitch,movie.starring.actor
voice actor for homer simpson,movie.starring.actor_movie.starring.character
who is in the movie two can play that game,movie.starring.actor
actress from gone with the wind,movie.starring.actor
who are the lead actors in this movie,movie.starring.actor
show me information on the cast and crew of pitchperfect,movie.starring.actor
actors in house at the end of the street,movie.starring.actor
can i see the cast and crew for house at the end of the street,movie.starring.actor
cast and crew for house at the end of the street,movie.starring.actor
cast and crew for the movie house at the end of the street,movie.starring.actor
who stars on the house at the end of the street,movie.starring.actor
who is in movie,movie.starring.actor
who is in movie,movie.starring.actor
who is in movie,movie.starring.actor
who acts in forager,movie.starring.actor
who stars in forager,movie.starring.actor
who is the cast and crew for now forager,movie.starring.actor
who was in now,movie.starring.actor
actor from modern family,movie.starring.actor
list the actors in forager,movie.starring.actor
cast and crew of go,movie.starring.actor
who starred in go,movie.starring.actor
who was the lead actress in the hunger games,movie.starring.actor
show cast of movie request,movie.starring.actor
what is the cast in resident evil retribution,movie.starring.actor
list me the actors for top gun,movie.starring.actor
who was the tin man in wizard of oz,movie.starring.actor_movie.starring.character
actress in hum tum,movie.starring.actor
who was the actor in movie hum tum,movie.starring.actor
who is in barfi,movie.starring.actor
who was the lead woman in the savages,actor.gender_movie.starring.actor
find the name of the actor who played jack in the movie titanic,movie.starring.actor_movie.starring.character
the name of the male lead in the movie titanic,movie.starring.actor
what is the name of the lead actor in the titanic,movie.starring.actor
show me who played what role in go,movie.starring.actor_movie.starring.character
i cannot remember the name of the actor in pretty women,movie.starring.actor
what is the name of the actor who was in the parent trap,movie.starring.actor
find name of main actor in the movie the help,movie.starring.actor
looking for names of crew members of apollo thirteen,movie.starring.actor
what were the names of the ladies in facts of life,actor.gender_movie.starring.actor
how old is steven spielberg,person.date_of_birth
when steven spielberg born,person.date_of_birth
when was tom cruise born,person.date_of_birth
how old is kristen stewart,person.date_of_birth
how much did it cost to produce the dark night,movie.estimated_budget
how much did the dark night cost to produce,movie.estimated_budget
what was the dark night budget,movie.estimated_budget
budget for the blind side,movie.estimated_budget
i want to look up the budget of freedom writers,movie.estimated_budget
i would like to look up the budget of freedom writers,movie.estimated_budget
look for the budget of freedom writers,movie.estimated_budget
how much was hunger games made for,movie.estimated_budget
how much was the budget for the hunger games,movie.estimated_budget
how much did black swan cost,movie.estimated_budget
how much did hollywood pay for black swan,movie.estimated_budget
what was the budget for black swan,movie.estimated_budget
what were production costs for black swan,movie.estimated_budget
what was the budget for wrong turn,movie.estimated_budget
search for the budget of step up,movie.estimated_budget
budget for titanic,movie.estimated_budget
budget for titanic,movie.estimated_budget
budget for titanic movie,movie.estimated_budget
how much did titanic cost to make,movie.estimated_budget
how much was the total budget for the titanic,movie.estimated_budget
what was the budget for courageous,movie.estimated_budget
what was the budget for facing the giants,movie.estimated_budget
budget of heroine,movie.estimated_budget
finding the buget of heroine,movie.estimated_budget
what is the buget of movie heroine,movie.estimated_budget
how much did it cost to make jurassic park,movie.estimated_budget
what was the budget for jurassic park,movie.estimated_budget
how much did james cameron have to spend to make avatar,movie.directed_by_movie.estimated_budget
avatar must have cost a bundle,movie.estimated_budget
did the avatar movie have a budget for spending,movie.estimated_budget
get me info on the budget for avatar,movie.estimated_budget
how much did it cost to make avatar,movie.estimated_budget
how much did the studio spend to make avatar,movie.estimated_budget
how much money was budgeted for the avatar movie,movie.estimated_budget
i need to know the budget of the movie avatar,movie.estimated_budget
list the budget for avatar,movie.estimated_budget
show me what was the budget of the movie avatar,movie.estimated_budget
what did the movie avatar cost to make,movie.estimated_budget
what was the budget for avatar,movie.estimated_budget
what was the budget for avatar,movie.estimated_budget
what was the budget for avatar,movie.estimated_budget
what was the budget for the movie avatar,movie.estimated_budget
what was the budget of the movie avatar,movie.estimated_budget
how much did the movie avatar cost,movie.estimated_budget
how much money was spent on batman,movie.estimated_budget
tell me the budget for the movie batman,movie.estimated_budget
how much did batman begins cost,movie.estimated_budget
how much was it to make the film batman begins,movie.estimated_budget
budget for the avengers,movie.estimated_budget
how much did it take to make the avengers,movie.estimated_budget
what was the budget for the avengers,movie.estimated_budget
what was the budget for citizen kane,movie.estimated_budget
find out the budget of cujo,movie.estimated_budget
budget for gone with the wind,movie.estimated_budget
show me the budget for the movie,movie.estimated_budget
budget for the hulk,movie.estimated_budget
budget request for my big fat greek wedding,movie.estimated_budget
find the budget of my big fat greek wedding,movie.estimated_budget
how much did my big fat greek wedding cost,movie.estimated_budget
what was the budget of my big fat greek wedding,movie.estimated_budget
what was the budget for old school,movie.estimated_budget
how much did it cost to produce the deer hunter,movie.estimated_budget
provide the cost for producing the deer hunter,movie.estimated_budget
will you show the cost to produce the deer hunter,movie.estimated_budget
what was the budget for the hobbit,movie.estimated_budget
what was the budget for passion of the christ,movie.estimated_budget
what was the budget for top gun,movie.estimated_budget
who does ellen degeneres play in finding nemo,movie.starring.actor_movie.starring.character
what character did tom hanks play in apollo thirteen,movie.starring.actor_movie.starring.character
lion king characters,movie.starring.character
what character did will smith play in hitch,movie.starring.actor_movie.starring.character
what role did sarah polley play in go,movie.starring.actor_movie.starring.character
what was kevin james role in hitch,movie.starring.actor_movie.starring.character
who directed the music in gone with the wind,movie.music
show me the music composer for the movie,movie.music
who directed the musical score in barfi,movie.music
how many films did ed harris do with tom hanks,movie.starring.actor
how many movies were released on nine twenty eight twelve,movie.initial_release_date
how many movies were filmed in asia,movie.locations
how many films directed by barbra streisand have been shot in the czech republic,movie.directed_by_movie.locations
how many movies has albert ruddy produced,movie.produced_by
how many movies has lionsgate done,movie.production_companies
how many movies did richard lester direct,movie.directed_by
how many films has taye diggs been in,movie.starring.actor
how many movies has ray stark produced,movie.produced_by
how many producers did the movie the hitch have,movie.produced_by
how many movies has charles vidor directed,movie.directed_by
how many movies has kristen stewart made,movie.starring.actor
i wonder how many movies alfred hitchcock was in that he directed,movie.directed_by_movie.starring.actor
how many movies has steven spielberg directed,movie.directed_by
how many films did robert wise direct,movie.directed_by
how many movies has tom cruise starred in,movie.starring.actor
how many movies did scorsese direct,movie.directed_by
how many movies has angelina jolie been in,movie.starring.actor
how many movies did victor fleming direct,movie.directed_by
how many movies has woody allen directed,movie.directed_by
how many movies has darla anderson produced,movie.produced_by
how many films did alfred hitchcock direct,movie.directed_by
how many movies did hitchcock direct,movie.directed_by
how many movies has tom hanks starred in,movie.starring.actor
how many woody allen movies starred diane keaton,movie.directed_by_movie.starring.actor
how many films has ed harris starred in,movie.starring.actor
how many movies are made in the united states,movie.country
where was footnote made,movie.country
what country did the flowers of war come from,movie.country
country of le havre,movie.country
what country does the movie kati patang comes from,movie.country
show me the name of the country for the movie thoda pyaar thoda magic,movie.country
can you tell me which country the movie kati patang comes from,movie.country
i need to know the name of the country to which the movie kati patang belongs to,movie.country
show me the name of the country from which the movie kati patang comes,movie.country
can you tell me which country does thoda pyaar thoda magic belongs to,movie.country
give me the name of the country for the movie thoda pyaar thoda magic,movie.country
i need to know which country does the movie thoda pyaar thoda magic belongs to,movie.country
country that made a separation,movie.country
what country is godzilla,movie.country
country of weekend,movie.country
i would like to search for what country cell 21 is from,movie.country
look for what country cell 21 is from,movie.country
what country is cell 21 from,movie.country
what country did black beauty come from,movie.country
i need to know where trainspotting comes from,movie.country
tell me where is trainspotting from,movie.country
which country made elizabeth,movie.country
where was trainspotting made,movie.country
which country is this movie from,movie.country
show me where black swan is from,movie.country
where was black swan produced,movie.country
what is the origin of casa blanca,movie.country
origin of gone with the wind,movie.country
lion king filmed at,movie.country
where was rocky four filmed,movie.country
origin of spanglish,movie.country
movie made where,movie.country
what country is movie from,movie.country
in what country was movie made,movie.country
where was movie made,movie.country
is this a foreign film,movie.country
is this a foreign film,movie.country
what country was kinky boots made in,movie.country
what country is outside the law from,movie.country
what country produced the movie mirror,movie.country
what country does mirror come from,movie.country
what country does les miserable come from,movie.country
what is the origin country of mirror,movie.country
in what country was the movie mirror produced,movie.country
where was the movie mirror produced,movie.country
when can i see top gun,movie.initial_release_date
when was top gun released,movie.initial_release_date
when does top gun come out,movie.initial_release_date
when the movie top gun was released,movie.initial_release_date
when did richard lester start directing,movie.directed_by_movie.initial_release_date
when was in july released,movie.initial_release_date
give me the release date for the little mermaid,movie.initial_release_date
what date was spider released,movie.initial_release_date
can you tell me when 24 will be released,movie.initial_release_date
do you know when 24 will be released,movie.initial_release_date
i want to know when 24 will be released,movie.initial_release_date
when will 24 be released,movie.initial_release_date
how will i know when the movie gone with the wind will be released,movie.initial_release_date
please tell me when was the movie gone with the wind released,movie.initial_release_date
please tell me when will the movie gone with the wind will be released,movie.initial_release_date
when will the movie gone with the wind be released,movie.initial_release_date
do you know when this movie is available,movie.initial_release_date
what year was the movie released,movie.initial_release_date
which decade did the movie come out,movie.initial_release_date
which month was the movie released,movie.initial_release_date
release day for the movie,movie.initial_release_date
may i have the date of release for this movie,movie.initial_release_date
release date for the vow,movie.initial_release_date
when was black beauty released,movie.initial_release_date
titanic release date,movie.initial_release_date
when did lionsgate start making movies,movie.initial_release_date_movie.production_companies
search when the birds will be released,movie.initial_release_date
what year did spielberg start directing movies,movie.directed_by_movie.initial_release_date
the godfather came out when,movie.initial_release_date
when can i see the great gatsby,movie.initial_release_date
when will the great gatsby be out,movie.initial_release_date
when will the great gatsby be released,movie.initial_release_date
when will jaws be released,movie.initial_release_date
when will the hobbit be released,movie.initial_release_date
what year was the hobbit relased,movie.initial_release_date
what year did the movie grease open,movie.initial_release_date
movie little women release date is when,movie.initial_release_date
release date for little women,movie.initial_release_date
when was the movie title little women released,movie.initial_release_date
can you please tell me when was karate kid released,movie.initial_release_date
karate kid release date,movie.initial_release_date
find release date for karate kid,movie.initial_release_date
when did dirty dancing come out,movie.initial_release_date
when was dirty dancing released,movie.initial_release_date
what year was dirty dancing released,movie.initial_release_date
when was dirty dancing released,movie.initial_release_date
when was overboard released,movie.initial_release_date
what year did moon over parador come out,movie.initial_release_date
release date for batman,movie.initial_release_date
when did jurassic park get released,movie.initial_release_date
lion king release yr,movie.initial_release_date
when was while you were sleeping released,movie.initial_release_date
what year was ed harris in in apollo thirteen,movie.initial_release_date_movie.starring.actor
what was the date when welcome to the dollhouse was released,movie.initial_release_date
release date for toy story,movie.initial_release_date
what was the relase date for men in black,movie.initial_release_date
when was life is beautiful released,movie.initial_release_date
when was life is beautiful released,movie.initial_release_date
when life is beautiful was released,movie.initial_release_date
what is possessed realese date,movie.initial_release_date
look up the release date of resident evil,movie.initial_release_date
when did resident evil come out,movie.initial_release_date
when did resident evil debut in theaters,movie.initial_release_date
when did theaters show resident evil,movie.initial_release_date
when was the release date for the movie resident evil,movie.initial_release_date
when was resident evil first in theatres,movie.initial_release_date
when was the scooby do movie released,movie.initial_release_date
when was finding nemo released,movie.initial_release_date
release date for finding nemo,movie.initial_release_date
when was finding nemo released,movie.initial_release_date
when was finding nemo released,movie.initial_release_date
in which date varsham movie released,movie.initial_release_date
in which month varsham movie released,movie.initial_release_date
release twilight,movie.initial_release_date
frankenstein release,movie.initial_release_date
frankenstein release date,movie.initial_release_date
when will the movie frankenstein be released,movie.initial_release_date
when was hum tum relesed,movie.initial_release_date
i want to know when step up was released,movie.initial_release_date
i would like to know when the movie step up was released,movie.initial_release_date
when was step up released,movie.initial_release_date
when was the movie step up released,movie.initial_release_date
when did happiness get released,movie.initial_release_date
when will paranormal activity be released,movie.initial_release_date
avatar realease date,movie.initial_release_date
avatar release,movie.initial_release_date
what was the release date for avatar,movie.initial_release_date
when did the movie avatar get released,movie.initial_release_date
when avatar released,movie.initial_release_date
when was avatar released,movie.initial_release_date
i need to know when was the movie avatar released,movie.initial_release_date
what day avatar released,movie.initial_release_date
what was the release date of the movie avatar,movie.initial_release_date
when was avatar released,movie.initial_release_date
what date was avatar released,movie.initial_release_date
when was black swan in the theatre,movie.initial_release_date
when was black swan released,movie.initial_release_date
how long has black swan been out,movie.initial_release_date
find release date of the help,movie.initial_release_date
when can the help be released,movie.initial_release_date
tell me when compliance came out,movie.initial_release_date
when is sinister hitting theaters,movie.initial_release_date
release date for the hunger games,movie.initial_release_date
when was the first hunger games shown,movie.initial_release_date
when was avengers released,movie.initial_release_date
when was lawless released,movie.initial_release_date
release date of snow white and the huntsman,movie.initial_release_date
release date for amazing spiderman,movie.initial_release_date
when will the next amazing spiderman come out,movie.initial_release_date
when was the amazing spiderman released in the movie theatres,movie.initial_release_date
search for the release date of vulgaria,movie.initial_release_date
when did vulgaria come out,movie.initial_release_date
when was the movie vulgaria released,movie.initial_release_date
what date did vulgaria open,movie.initial_release_date
when did dredd come out,movie.initial_release_date
what year was the godfather released,movie.initial_release_date
release date for the watch,movie.initial_release_date
when was paranorman be released,movie.initial_release_date
what year was the campaign released,movie.initial_release_date
when was the campaign released,movie.initial_release_date
when was expendables 2 released,movie.initial_release_date
when is the release date of resident evil: retribution,movie.initial_release_date
what is the calendar date release for looper,movie.initial_release_date
i would like to know the release date of the movie barfi,movie.initial_release_date
i need to know the release date of the movie barfi,movie.initial_release_date
what is the release date of the movie barfi,movie.initial_release_date
show me the release date of the movie barfi,movie.initial_release_date
find the release date for heroine,movie.initial_release_date
please find the release date of heroine,movie.initial_release_date
what is the release date of heroine,movie.initial_release_date
when was herione released,movie.initial_release_date
when was the movie heroine released,movie.initial_release_date
when was house at the end of the street released,movie.initial_release_date
when house at the end of the street showing,movie.initial_release_date
what is the release date for house at the end of the street,movie.initial_release_date
is iron man 3 in theatres yet,movie.initial_release_date
when is iron man 3 coming out,movie.initial_release_date
when will iron man 3 be out in movie theatres,movie.initial_release_date
show me movies listed by directors,movie.directed_by
director for gone with the wind,movie.directed_by
show me the directors of gone with the wind,movie.directed_by
who are the directors of gone with the wind,movie.directed_by
who directed gone with the wind,movie.directed_by
who directed gone with the wind,movie.directed_by
who directed gone with the wind,movie.directed_by
who directed the movie,movie.directed_by
show me details about the directors of gone with the wind,movie.directed_by
who directed black swan,movie.directed_by
who made batman the dark knight,movie.directed_by
show me the director of the film the dark knight,movie.directed_by
tell me the director of the film the dark knight,movie.directed_by
who directed the movie the dark knight,movie.directed_by
who filmed the dark knight,movie.directed_by
who is the person that directed the film the dark knight,movie.directed_by
who directed hard days night,movie.directed_by
who directed cast away,movie.directed_by
show me the director of forest gump,movie.directed_by
who was the director of forest gump,movie.directed_by
who is director of sleepless in seattle,movie.directed_by
who directed the movie opening night,movie.directed_by
who directed the movie men in black 3,movie.directed_by
who was the director in men in black 3,movie.directed_by
can you tell me the director of the titanic,movie.directed_by
director for titanic,movie.directed_by
who was the director of the movie titanic,movie.directed_by
display director of the movie avengers,movie.directed_by
director of the avengers,movie.directed_by
search director of the exorcist,movie.directed_by
find the director for the social network,movie.directed_by
find the director of big,movie.directed_by
who is the director of ghost busters,movie.directed_by
find the director for pretty woman,movie.directed_by
who made godzilla,movie.directed_by_movie.produced_by
rocky director,movie.directed_by
who directed hope floats,movie.directed_by
avatar was directed by whom,movie.directed_by
director of avatar,movie.directed_by
which director directed avatar,movie.directed_by
who did avatar,movie.directed_by
who directed avatar,movie.directed_by
who directed avatar,movie.directed_by
who directed avatar,movie.directed_by
who directed the film avatar,movie.directed_by
who directed the movie called avatar,movie.directed_by
who made the movie avatar,movie.directed_by
who was the director of the movie avatar,movie.directed_by
who directed star wars four,movie.directed_by
who directed the movie in july,movie.directed_by
who made steel magnolias,movie.directed_by
the silence of the lambs director,movie.directed_by
director of the incredibles,movie.directed_by
gilda director,movie.directed_by
list gilda director,movie.directed_by
search director for gilda,movie.directed_by
search gilda director,movie.directed_by
the movie gilda director,movie.directed_by
who directed gilda,movie.directed_by
who directed gilda,movie.directed_by
who directed gilda,movie.directed_by
who directed the movie gilda,movie.directed_by
goodfellas director,movie.directed_by
who made field of dreams,movie.directed_by
who made the movie field of dreams,movie.directed_by
who made the movie field of dreams possible,movie.directed_by
can i please see more details for the director of finding nemo,movie.directed_by
find the director for finding nemo,movie.directed_by
i want to know the director of finding nemo,movie.directed_by
i want to know who directed finding nemo,movie.directed_by
show me finding nemo director,movie.directed_by
who directed finding nemo,movie.directed_by
who directed finding nemo,movie.directed_by
who directed finding nemo,movie.directed_by
who directed finding nemo,movie.directed_by
who directed finding nemo,movie.directed_by
who directed finding nemo,movie.directed_by
who was the director of the film finding nemo,movie.directed_by
who directed hitch,movie.directed_by
who made hitch,movie.directed_by
director for anne of green gables,movie.directed_by
search director of the movie platoon,movie.directed_by
who was the director of movie varsham,movie.directed_by
who directed grizzly man,movie.directed_by
who directed to kill a mockingbird,movie.directed_by
who was the director of the movie e t,movie.directed_by
find the director for et,movie.directed_by
who made et,movie.directed_by
who was the director of the movie jaws,movie.directed_by
who directed jurassic park,movie.directed_by
who directed jurassic park,movie.directed_by
who directed jurassic park,movie.directed_by
old man director,movie.directed_by
can you find out who directed the movie batman,movie.directed_by
can you tell me who is the director of batman,movie.directed_by
who directed batman,movie.directed_by
who is the director of batman,movie.directed_by
looper directors,movie.directed_by
who directed the perfect storm,movie.directed_by
who directed dirty dancing,movie.directed_by
director for pride and prejudice,movie.directed_by
who directed the movie the thing called love,movie.directed_by
director of twilight,movie.directed_by
twilight was directed by whom,movie.directed_by
who else directs zombie movies,movie.directed_by_movie.subjects
director of hum tum,movie.directed_by
director of the movie hum tum,movie.directed_by
find the director of hum tum,movie.directed_by
look for the director of hum tum,movie.directed_by
director of the cabin in the woods,movie.directed_by
i am interested in who directed cabin in the woods,movie.directed_by
show me who directed cabin in the woods,movie.directed_by
who directed the movie cabin in the woods,movie.directed_by
who directed soul surfer,movie.directed_by
who directed the sandlot,movie.directed_by
which director made a comedy,movie.directed_by_movie.genre
director of halloween,movie.directed_by
find the director of step up,movie.directed_by
search for the director of step up,movie.directed_by
search for the director of step up,movie.directed_by
i need to know who directed black swan,movie.directed_by
i want to look for the director of freedom writers,movie.directed_by
i would like to look for the director of freedom writers,movie.directed_by
who directed the movie titanic,movie.directed_by
who was the director of the movie the mechanic,movie.directed_by
find the director of mask,movie.directed_by
director of the hulk,movie.directed_by
did robert wise direct the sound of music,movie.directed_by
was robert wise the only director of the sound of music,movie.directed_by
who directed the sound of music,movie.directed_by
who directed the sound of music,movie.directed_by
who directed the sound of music,movie.directed_by
what director shot the 1st lord of the rings film,movie.directed_by
who directed return,movie.directed_by
who is the director of return,movie.directed_by
search for the name of the director of return,movie.directed_by
what was the name of the director in men in black 3,movie.directed_by
what is the name of the director of the movie avengers,movie.directed_by
find the name of the director of chips,movie.directed_by
name of director for house at the end of the street,movie.directed_by
name the director of sleepless in seattle,movie.directed_by
find name of director of the movie platoon,movie.directed_by
get me the name of who directed the master,movie.directed_by
what is the director's name of lord of the rings,movie.directed_by
what is the name of the person who made et,movie.directed_by
rocky director's name,movie.directed_by
what type of movie is gilda,movie.genre
what types of movies does lionsgate produce,movie.genre_movie.production_companies
what kind of movie is black swan,movie.genre
what genre is the hunger games,movie.genre
genre for transformers,movie.genre
what genre is looper,movie.genre
what genre is the movie looper,movie.genre
what genre is rambo,movie.genre
what genre is the jaws movies,movie.genre
can you tell me the genre for 1000 words,movie.genre
i am interested in the genre for 1000 words,movie.genre
what type of movie is parenthood,movie.genre
give me the genre of the movie lawless,movie.genre
what genre is the movie lawless,movie.genre
what is the genre of the movie lawless,movie.genre
what genre is the movie in july,movie.genre
genre for gone with the wind,movie.genre
how is the movie classified,movie.genre
what genre is the movie,movie.genre
what is the movie category,movie.genre
how would you describe the movie,movie.genre
type of movie,movie.genre
what is the classification of movie,movie.genre
what is the genre for movie,movie.genre
what is the movie genre,movie.genre
what kind of movie,movie.genre
what type of movie is this,movie.genre
i would like look up the genre step up is in,movie.genre
search for the genre step up in,movie.genre
what genre is step up in,movie.genre
what genre is calendar girls in,movie.genre
what is the genre for the patriot,movie.genre
what genre is network in,movie.genre
find out the genre for the movie rebel,movie.genre
genre for the avengers,movie.genre
can you tell me what genre the movie avatar falls in,movie.genre
i need to know the genre of the movie avatar,movie.genre
show me the genre of the movie avatar,movie.genre
what genre is superman,movie.genre
pretty girl movie genre,movie.genre
what genre is pretty girl,movie.genre
what genre is the movie pretty girl,movie.genre
find out what kind of movie grease is,movie.genre
i d like to know the genre of the film grease,movie.genre
i would like to know the genre of grease,movie.genre
what kind of movie is grease,movie.genre
find out the genre for the movie annamayya,movie.genre
what movie category is friday the 13th,movie.genre
tell me what genre the tommyknockers is,movie.genre
what genre is the hangover,movie.genre
what catergory is ted in,movie.genre
what genre is ted considered,movie.genre
what type of movie is ted considered to be,movie.genre
genre for while you were sleeping,movie.genre
what genre is finding nemo,movie.genre
which language is used in the movie,movie.language
language of sound of music,movie.language
what language is this film,movie.language
what are the different languages this movie come in,movie.language
what foreign language is spoken in movie,movie.language
what language is movie in,movie.language
what language is the movie in,movie.language
what language is the movie in,movie.language
language of anna karinia,movie.language
language of godzilla movie,movie.language
language of hamlet,movie.language
can you tell me the language of the movie hero,movie.language
i need to know what is the language of the movie hero,movie.language
tell me what is the language of the movie hero,movie.language
language of bullhead,movie.language
what language did the characters speak in black swan,movie.language
what language is black swan,movie.language
please find what language the chaser is in,movie.language
what language is the chaser in,movie.language
look up what language the chaser is in,movie.language
what language is la havre in,movie.language
what foreign language is the movie belle available to view in,movie.language
what language can i watch the movie the professional,movie.language
what language is the professional in,movie.language
how do they speak in the movie the professional,movie.language
what language is spoken in indochine,movie.language
language of the film revanche,movie.language
what language was aguirre wrath of god in,movie.language
what language is passion of the christ in,movie.language
i want to know in what language was ju on filmed,movie.language
i want to know the original language of ju on,movie.language
tell me the language of ju on,movie.language
what language is ju on on,movie.language
what language is the movie elling in,movie.language
language of a separation,movie.language
what s the language of moscow does not believe in tears,movie.language
what is the language of the movie aankhen,movie.language
can you tell me the language of the movie aankhen,movie.language
what are the names of films produced by steven spielberg,movie.produced_by
can you tell me names of some movies by director martin scorsese,movie.directed_by
find movie titles,none
what are the names of movies made in the united states,movie.country
i would like to know the names of all the movies which have been directed by james cameron,movie.directed_by
what are the titles of all the movies that george lucas produced,movie.produced_by
names of romantic indian films,movie.country_movie.genre_movie.language
can you show me names of some indian romantic movies,movie.country_movie.genre_movie.language
i would like to know names of some indian movies,movie.country_movie.language
japanese movie titles,movie.country_movie.language
can you give me names of some movies having pg thirteen rating,movie.rating
i would like to get names of some movies with pg thirteen rating,movie.rating
show me names of some romantic movies having a pg thirteen rating,movie.genre_movie.rating
what are the names of movies with zombies in them,movie.subjects
i need to know the names of all the movies produced by william packer,movie.produced_by
stephen king directed what movie,movie.directed_by
what movies did stephen king direct,movie.directed_by
watch the last james cameron movie,movie.directed_by_movie.initial_release_date
find movies by release date,movie.initial_release_date
show movie ratings,movie.rating
movie ratings,movie.rating
richard lester produced what other movies,movie.produced_by
show me westerns,movie.genre
was kevin bacon in apollo thirteen,movie.starring.actor
